1930
NEW DAY;20230103;DAILY CHARGE;
UPDATE SCORE;-2440;-7440
COMPLETED DT2;Correct initial pull status ;
UPDATE SCORE;-7440;-7240
RT_completed;0;Open GRL;
UPDATE SCORE;-7240;-7230
TD_completed;4;Tasks done after DT will yield a random bonus from 50 to 0.1% of next level requirement ;50;
UPDATE SCORE;-7230;-7180
ET;Del;-10;
UPDATE SCORE;-7180;-7190
ET;Undo Del;10;
UPDATE SCORE;-7190;-7180
COMPLETED DT1;Add Other Tasks option;
UPDATE SCORE;-7180;-6880
NEW DAY;20230105;DAILY CHARGE;
UPDATE SCORE;-6880;-8880
COMPLETED DT2;Cryptozombie 1 module;
UPDATE SCORE;-8880;-8680
RT_completed;3;Medicine morning;
UPDATE SCORE;-8680;-8670
RT_completed;0;Open GRL;
UPDATE SCORE;-8670;-8660
RT_completed;5;Cream morning;
UPDATE SCORE;-8660;-8650
RT_completed;6;Cream evening;
UPDATE SCORE;-8650;-8640
UNDO DT2;Cryptozombie 1 module;
UPDATE SCORE;-8640;-8840
COMPLETED DT2;Cryptozombie 1 module;
UPDATE SCORE;-8840;-8640
NEW DAY;20230107;DAILY CHARGE;
UPDATE SCORE;-8640;-10640
RT_completed;5;Cream morning;
UPDATE SCORE;-10640;-10630
RT_completed;0;Open GRL;
UPDATE SCORE;-10630;-10620
RT_completed;2;Book reading 15 pages;
UPDATE SCORE;-10620;-10605
RT_completed;8;CryptoZombie;
UPDATE SCORE;-10605;-10595
ET;WALK;20230106;264;
UPDATE SCORE;-10595;-10331
ET;WALK;20230105;520;
UPDATE SCORE;-10331;-9811
COMPLETED DT3;General defeated;
UPDATE SCORE;-9811;-9611
COMPLETED DT2;Vinod cv;
UPDATE SCORE;-9611;-9311
ET;Sekiro;-300;
UPDATE SCORE;-9311;-9611
COMPLETED DT1;Score is suppose to be biggest thing;
UPDATE SCORE;-9611;-9111
RT_completed;3;Medicine morning;
UPDATE SCORE;-9111;-9101
RT_completed;6;Cream evening;
UPDATE SCORE;-9101;-9091
TD_completed;1;Add lists to GRL;869;
UPDATE SCORE;-9091;-8222
NEW DAY;20230108;DAILY CHARGE;
UPDATE SCORE;-8222;-9222
RT_completed;0;Open GRL;
UPDATE SCORE;-9222;-9212
RT_completed;3;Medicine morning;
UPDATE SCORE;-9212;-9202
ET;WALK;20230107;333;
UPDATE SCORE;-9202;-8869
RT_completed;5;Cream morning;
UPDATE SCORE;-8869;-8859
NEW DAY;20230109;DAILY CHARGE;
UPDATE SCORE;-8859;-9859
RT_completed;5;Cream morning;
UPDATE SCORE;-9859;-9849
RT_completed;0;Open GRL;
UPDATE SCORE;-9849;-9839
COMPLETED DT3;Chat Gpt;
UPDATE SCORE;-9839;-9639
RT_completed;3;Medicine morning;
UPDATE SCORE;-9639;-9629
ET;WALK;20230108;695;
UPDATE SCORE;-9629;-8934
COMPLETED DT2;Cycle;
UPDATE SCORE;-8934;-8634
COMPLETED DT1;Add task add / delete;
UPDATE SCORE;-8634;-8134
TD_ADD;DEL;
TD_DEL;10;DEL;
RT_completed;8;CryptoZombie;
UPDATE SCORE;-8134;-8124
RT_completed;6;Cream evening;
UPDATE SCORE;-8124;-8114
NEW DAY;20230110;DAILY CHARGE;
UPDATE SCORE;-8114;-9114
RT_DEL;3;Medicine morning;
RT_completed;3;Medicine morning;
UPDATE SCORE;-9114;-9104
RT_completed;5;Cream morning;
UPDATE SCORE;-9104;-9094
RT_completed;0;Open GRL;
UPDATE SCORE;-9094;-9084
RT_ADD;del;0;
RT_completed;9;del;
UPDATE SCORE;-9084;-9084
RT_UNDO;9;del;
UPDATE SCORE;-9084;-9084
RT_DEL;9;del;
COMPLETED DT3;Add rt;
UPDATE SCORE;-9084;-8884
TD_ADD;Buy Muprocin;
TD_ADD;Buy fuse 5A;
COMPLETED DT1;Hair cut;
UPDATE SCORE;-8884;-8584
RT_completed;6;Cream evening;
UPDATE SCORE;-8584;-8574
RT_completed;1;Varsity;
UPDATE SCORE;-8574;-8564
TD_completed;11;Buy fuse 5A;50;
UPDATE SCORE;-8564;-8514
COMPLETED DT2;Learn react;
UPDATE SCORE;-8514;-8014
TD_completed;10;Buy Muprocin;51;
UPDATE SCORE;-8014;-7963
ET;Walk;20230109;221;
UPDATE SCORE;-7963;-7742
NEW DAY;20230111;DAILY CHARGE;
UPDATE SCORE;-7742;-8742
ET;WALK;20230110;960;
UPDATE SCORE;-8742;-7782
RT_completed;0;Open GRL;
UPDATE SCORE;-7782;-7772
RT_completed;3;Medicine morning;
UPDATE SCORE;-7772;-7762
RT_completed;5;Cream morning;
UPDATE SCORE;-7762;-7752
TD_DEL;7;Hair cut;
RT_completed;6;Cream evening;
UPDATE SCORE;-7752;-7742
COMPLETED DT1;Scrapper;
UPDATE SCORE;-7742;-7542
NEW DAY;20230116;DAILY CHARGE;
UPDATE SCORE;-7542;-12542
NEW DAY;20230117;DAILY CHARGE;
UPDATE SCORE;-12542;-13542
NEW DAY;20230118;DAILY CHARGE;
UPDATE SCORE;-13542;-14542
RT_completed;0;Open GRL;
UPDATE SCORE;-14542;-14532
COMPLETED DT2;Data exp;
UPDATE SCORE;-14532;-14332
COMPLETED DT3;Reset Dt;
UPDATE SCORE;-14332;-14032
COMPLETED DT1;23:00;
UPDATE SCORE;-14032;-13532
RT_completed;1;Varsity;
UPDATE SCORE;-13532;-13522
RT_completed;3;Medicine morning;
UPDATE SCORE;-13522;-13512
RT_completed;5;Cream morning;
UPDATE SCORE;-13512;-13502
RT_completed;4;Medicine night;
UPDATE SCORE;-13502;-13492
RT_completed;7;Cream night;
UPDATE SCORE;-13492;-13482
ET;Walk;20230117;519;
UPDATE SCORE;-13482;-12963
ET;Walk;20230116;273;
UPDATE SCORE;-12963;-12690
NEW DAY;20230119;DAILY CHARGE;
UPDATE SCORE;-12690;-13690
RT_completed;3;Medicine morning;
UPDATE SCORE;-13690;-13680
RT_completed;5;Cream morning;
UPDATE SCORE;-13680;-13670
ET;WALK;20230118;553;
UPDATE SCORE;-13670;-13117
RT_completed;0;Open GRL;
UPDATE SCORE;-13117;-13107
RT_ADD;23:00;100;
NEW DAY;20230120;DAILY CHARGE;
UPDATE SCORE;-13107;-14107
NEW DAY;20230121;DAILY CHARGE;
UPDATE SCORE;-14107;-15107
NEW DAY;20230122;DAILY CHARGE;
UPDATE SCORE;-15107;-16107
COMPLETED DT1;Stat handouts x5;
UPDATE SCORE;-16107;-15907
COMPLETED DT2;Data exp;
UPDATE SCORE;-15907;-15607
COMPLETED DT3;Reset Dt;
UPDATE SCORE;-15607;-15107
RT_completed;0;Open GRL;
UPDATE SCORE;-15107;-15087
RT_completed;3;Medicine morning;
UPDATE SCORE;-15087;-14987
RT_completed;4;Medicine night;
UPDATE SCORE;-14987;-14887
RT_completed;5;Cream morning;
UPDATE SCORE;-14887;-14787
RT_completed;6;Cream evening;
UPDATE SCORE;-14787;-14687
ET;WALK;20230119;666;
UPDATE SCORE;-14687;-14021
ET;WALK;20230120;1036;
UPDATE SCORE;-14021;-12985
ET;WALK;20230121;12353;
UPDATE SCORE;-12985;-632
ET;UNDO_WALK;20230121;-12353;
UPDATE SCORE;-632;-12985
ET;WALK;20230121;1235;
UPDATE SCORE;-12985;-11750
NEW DAY;20230123;DAILY CHARGE;
UPDATE SCORE;-11750;-12750
NEW DAY;20230124;DAILY CHARGE;
UPDATE SCORE;-12750;-13750
RT_completed;5;Cream morning;
UPDATE SCORE;-13750;-13650
COMPLETED DT1;Stat handouts x5;
UPDATE SCORE;-13650;-13450
RT_completed;0;Open GRL;
UPDATE SCORE;-13450;-13430
ET;WALK;20230122;518;
UPDATE SCORE;-13430;-12912
ET;WALK;20230123;221;
UPDATE SCORE;-12912;-12691
RT_completed;3;Medicine morning;
UPDATE SCORE;-12691;-12591
TD_ADD;Extension;
TD_ADD;Add points feature TD;
COMPLETED DT3;Reset Dt Create;
UPDATE SCORE;-12591;-12291
RT_completed;6;Cream evening;
UPDATE SCORE;-12291;-12191
RT_completed;4;Medicine night;
UPDATE SCORE;-12191;-12091
TD_ADD;Increase usage;
RT_ADD;FRM 15 pg;300;
TD_ADD;Learning chunks tab;
TD_ADD;Walk Tab;
TD_ADD;Game / Watch tab;
COMPLETED DT2;2300;
UPDATE SCORE;-12091;-11591
TD_ADD;Complete DT in past;
RT_completed;9;23:00;
UPDATE SCORE;-11591;-11491
TD_DEL;17;Complete DT in past;
TD_ADD;Reset day with permission;
RT_completed;7;Cream night;
UPDATE SCORE;-11491;-11391
NEW DAY;20230125;DAILY CHARGE;
UPDATE SCORE;-11391;-12391
TD_ADD;Utc and ist stuff afterwards;
TD_ADD;Doctor consult;
RT_completed;5;Cream morning;
UPDATE SCORE;-12391;-12291
RT_completed;3;Medicine morning;
UPDATE SCORE;-12291;-12191
COMPLETED DT1;Stat handouts x5;
UPDATE SCORE;-12191;-11991
ET;Walk;20230124;310;
UPDATE SCORE;-11991;-11681
RT_completed;4;Medicine night;
UPDATE SCORE;-11681;-11581
RT_completed;0;Open GRL;
UPDATE SCORE;-11581;-11561
RT_completed;10;FRM 15 pg;
UPDATE SCORE;-11561;-11261
COMPLETED DT3;Push Dt Create;
UPDATE SCORE;-11261;-10961
TD_ADD;Pin GRL on homepage;
TD_ADD;Completed to do visibility limited;
UNDO DT1;Stat handouts x5;
UPDATE SCORE;-10961;-11261
COMPLETED DT1;Stat handouts x5;
UPDATE SCORE;-11261;-10961
COMPLETED DT2;2300;
UPDATE SCORE;-10961;-10461
TD_completed;20;Pin GRL on homepage;334;
UPDATE SCORE;-10461;-10127
TD_completed;2;Add convienience buttons in GRL;378;
UPDATE SCORE;-10127;-9749
RT_DEL;8;CryptoZombie;
RT_completed;8;23:00;
UPDATE SCORE;-9749;-9649
RT_completed;7;Cream night;
UPDATE SCORE;-9649;-9549
"TD_ADD;Add something in GRL for removing responsibility, lazing, curiosity;"
TD_ADD;Add multiple tasks together or voice integration;
NEW DAY;20230126;DAILY CHARGE;
RESET_DT;
UPDATE SCORE;-9549;-10549
COMPLETED DT1;Add Daily Task;
UPDATE SCORE;-10549;-10349
UNDO DT1;Add Daily Task;
UPDATE SCORE;-10349;-10549
NEW DAY;20230128;DAILY CHARGE;
RESET_DT;
TD_ADD;Add Daily Task;
TD_ADD;Add Daily Task;
TD_ADD;Add Daily Task;
UPDATE SCORE;-10549;-12549
ET;Fever x3;1500;
UPDATE SCORE;-12549;-11049
TD_DEL;24;Add Daily Task;
TD_DEL;24;Add Daily Task;
TD_DEL;24;Add Daily Task;
"TD_ADD;""Add daily task"" gets shifted to to do BUG;"
RT_completed;0;Open GRL;
UPDATE SCORE;-11049;-11029
ET;Walk;20230126;725;
UPDATE SCORE;-11029;-10304
ET;Walk;20230127;323;
UPDATE SCORE;-10304;-9981
NEW DAY;20230130;DAILY CHARGE;
RESET_DT;
TD_ADD;Add Daily Task;
TD_ADD;Add Daily Task;
TD_ADD;Add Daily Task;
UPDATE SCORE;-9981;-11981
NEW DAY;20230131;DAILY CHARGE;
RESET_DT;
TD_ADD;Add Daily Task;
TD_ADD;Add Daily Task;
TD_ADD;Add Daily Task;
UPDATE SCORE;-11981;-12981
TD_DEL;30;Add Daily Task;
TD_DEL;27;Add Daily Task;
TD_DEL;28;Add Daily Task;
TD_DEL;26;Add Daily Task;
TD_DEL;26;Add Daily Task;
TD_DEL;25;Add Daily Task;
ET;Fever x3;1500;
UPDATE SCORE;-12981;-11481
ET;Fever x3;1500;
UPDATE SCORE;-11481;-9981
ET;Walk;20230130;208;
UPDATE SCORE;-9981;-9773
RT_completed;0;Open GRL;
UPDATE SCORE;-9773;-9753
RT_completed;8;23:00;
UPDATE SCORE;-9753;-9653
NEW DAY;20230204;DAILY CHARGE;
RESET_DT;
UPDATE SCORE;-9653;-13653
ET;Fever x5;2500;
UPDATE SCORE;-13653;-11153
RT_completed;0;Open GRL;
UPDATE SCORE;-11153;-11133
TD_ADD;Refill paper soap;
TD_ADD;Trimmer charge;
TD_ADD;We need some semi formal attire;
TD_ADD;We need some semi formal attire;
NEW DAY;20230205;DAILY CHARGE;
RESET_DT;
UPDATE SCORE;-11133;-12133
TD_DEL;28;We need some semi formal attire;
RT_completed;0;Open GRL;
UPDATE SCORE;-12133;-12113
COMPLETED DT1;Add Daily Task;
UPDATE SCORE;-12113;-11913
ET;Walk;20230205;2115;
UPDATE SCORE;-11913;-9798
ET;Walk;20230204;219;
UPDATE SCORE;-9798;-9579
RT_completed;1;Varsity;
UPDATE SCORE;-9579;-9529
COMPLETED DT3;Add Daily Task;
UPDATE SCORE;-9529;-9229
NEW DAY;20230209;DAILY CHARGE;
RESET_DT;
TD_ADD;Add Daily Task;
UPDATE SCORE;-9229;-13229
ET;Wed x5;2500;
UPDATE SCORE;-13229;-10729
ET;Wed x1;500;
UPDATE SCORE;-10729;-10229
TD_DEL;28;Add Daily Task;
RT_completed;0;Open GRL;
UPDATE SCORE;-10229;-10209
NEW DAY;20230210;DAILY CHARGE;
RESET_DT;
TD_ADD;Add Daily Task;
TD_ADD;Add Daily Task;
TD_ADD;Add Daily Task;
UPDATE SCORE;-10209;-11209
ET;Walk;20230207;1200;
UPDATE SCORE;-11209;-10009
ET;Walk;20230208;1216;
UPDATE SCORE;-10009;-8793
ET;Walk;20230209;1207;
UPDATE SCORE;-8793;-7586
RT_completed;0;Open GRL;
UPDATE SCORE;-7586;-7566
ET;Walk;20230210;931;
UPDATE SCORE;-7566;-6635
TD_DEL;28;Add Daily Task;
TD_DEL;29;Add Daily Task;
TD_DEL;28;Add Daily Task;
NEW DAY;20230211;DAILY CHARGE;
RESET_DT;
TD_ADD;Add Daily Task;
TD_ADD;Add Daily Task;
TD_ADD;Add Daily Task;
UPDATE SCORE;-6635;-7635
NEW DAY;20230212;DAILY CHARGE;
RESET_DT;
