Sr No,log
1,COMPLETED DT1;Add Daily task;
2,UPDATE SCORE;0;200
3,COMPLETED DT3;Add Daily task;
4,UPDATE SCORE;200;500
5,UNDO DT1;Add Daily task;
6,UPDATE SCORE;500;200
7,UNDO DT3;Add Daily task;
8,UPDATE SCORE;200;0
9,COMPLETED DT1;Add Daily task;
10,UPDATE SCORE;0;200
11,UNDO DT1;Add Daily task;
12,UPDATE SCORE;200;0
13,NEW DAY;20221227;DAILY CHARGE;
14,UPDATE SCORE;0;-1000
15,COMPLETED DT1;Add big feature to GRL;
16,UPDATE SCORE;-1000;-800
17,UNDO DT1;Add big feature to GRL;
18,UPDATE SCORE;-800;-1000
19,COMPLETED DT2;Add Daily task;
20,UPDATE SCORE;-1000;-800
21,UNDO DT2;Add Daily task;
22,UPDATE SCORE;-800;-1000
23,NEW DAY;20221228;DAILY CHARGE;
24,UPDATE SCORE;-1000;-2000
25,NEW DAY;20221229;DAILY CHARGE;
26,UPDATE SCORE;-2000;-3000
27,COMPLETED DT1;Add big feature to GRL;
28,UPDATE SCORE;-3000;-2800
29,COMPLETED DT2;correct new day GRL;
30,UPDATE SCORE;-2800;-2500
31,TD_completed;3;Add basic appearance to GRL;50;
32,UPDATE SCORE;-2500;-2450
33,RT_completed;0;Open GRL;
34,UPDATE SCORE;-2450;-2440
35,RT_UNDO;0;Open GRL;
36,UPDATE SCORE;-2440;-2450
37,RT_completed;0;Open GRL;
38,UPDATE SCORE;-2450;-2440
38,NEW DAY;20230103;DAILY CHARGE;
38,UPDATE SCORE;-2440;-7440
38,COMPLETED DT2;Correct initial pull status ;
38,UPDATE SCORE;-7440;-7240
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-7240;-7230
38,TD_completed;4;Tasks done after DT will yield a random bonus from 50 to 0.1% of next level requirement ;50;
38,UPDATE SCORE;-7230;-7180
38,ET;Del;-10;
38,UPDATE SCORE;-7180;-7190
38,ET;Undo Del;10;
38,UPDATE SCORE;-7190;-7180
38,COMPLETED DT1;Add Other Tasks option;
38,UPDATE SCORE;-7180;-6880
38,NEW DAY;20230105;DAILY CHARGE;
38,UPDATE SCORE;-6880;-8880
38,COMPLETED DT2;Cryptozombie 1 module;
38,UPDATE SCORE;-8880;-8680
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-8680;-8670
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-8670;-8660
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-8660;-8650
38,RT_completed;6;Cream evening;
38,UPDATE SCORE;-8650;-8640
38,UNDO DT2;Cryptozombie 1 module;
38,UPDATE SCORE;-8640;-8840
38,COMPLETED DT2;Cryptozombie 1 module;
38,UPDATE SCORE;-8840;-8640
38,NEW DAY;20230107;DAILY CHARGE;
38,UPDATE SCORE;-8640;-10640
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-10640;-10630
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-10630;-10620
38,RT_completed;2;Book reading 15 pages;
38,UPDATE SCORE;-10620;-10605
38,RT_completed;8;CryptoZombie;
38,UPDATE SCORE;-10605;-10595
38,ET;WALK;20230106;264;
38,UPDATE SCORE;-10595;-10331
38,ET;WALK;20230105;520;
38,UPDATE SCORE;-10331;-9811
38,COMPLETED DT3;General defeated;
38,UPDATE SCORE;-9811;-9611
38,COMPLETED DT2;Vinod cv;
38,UPDATE SCORE;-9611;-9311
38,ET;Sekiro;-300;
38,UPDATE SCORE;-9311;-9611
38,COMPLETED DT1;Score is suppose to be biggest thing;
38,UPDATE SCORE;-9611;-9111
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-9111;-9101
38,RT_completed;6;Cream evening;
38,UPDATE SCORE;-9101;-9091
38,TD_completed;1;Add lists to GRL;869;
38,UPDATE SCORE;-9091;-8222
38,NEW DAY;20230108;DAILY CHARGE;
38,UPDATE SCORE;-8222;-9222
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-9222;-9212
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-9212;-9202
38,ET;WALK;20230107;333;
38,UPDATE SCORE;-9202;-8869
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-8869;-8859
38,NEW DAY;20230109;DAILY CHARGE;
38,UPDATE SCORE;-8859;-9859
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-9859;-9849
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-9849;-9839
38,COMPLETED DT3;Chat Gpt;
38,UPDATE SCORE;-9839;-9639
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-9639;-9629
38,ET;WALK;20230108;695;
38,UPDATE SCORE;-9629;-8934
38,COMPLETED DT2;Cycle;
38,UPDATE SCORE;-8934;-8634
38,COMPLETED DT1;Add task add / delete;
38,UPDATE SCORE;-8634;-8134
38,TD_ADD;DEL;
38,TD_DEL;10;DEL;
38,RT_completed;8;CryptoZombie;
38,UPDATE SCORE;-8134;-8124
38,RT_completed;6;Cream evening;
38,UPDATE SCORE;-8124;-8114
38,NEW DAY;20230110;DAILY CHARGE;
38,UPDATE SCORE;-8114;-9114
38,RT_DEL;3;Medicine morning;
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-9114;-9104
