sr_no,log
39,NEW DAY;20230103;DAILY CHARGE;
40,UPDATE SCORE;-2440;-7440
41,COMPLETED DT2;Correct initial pull status ;
42,UPDATE SCORE;-7440;-7240
43,RT_completed;0;Open GRL;
44,UPDATE SCORE;-7240;-7230
45,TD_completed;4;Tasks done after DT will yield a random bonus from 50 to 0.1% of next level requirement ;50;
46,UPDATE SCORE;-7230;-7180
47,ET;Del;-10;
48,UPDATE SCORE;-7180;-7190
49,ET;Undo Del;10;
50,UPDATE SCORE;-7190;-7180
51,COMPLETED DT1;Add Other Tasks option;
52,UPDATE SCORE;-7180;-6880
53,NEW DAY;20230105;DAILY CHARGE;
54,UPDATE SCORE;-6880;-8880
55,COMPLETED DT2;Cryptozombie 1 module;
56,UPDATE SCORE;-8880;-8680
57,RT_completed;3;Medicine morning;
58,UPDATE SCORE;-8680;-8670
59,RT_completed;0;Open GRL;
60,UPDATE SCORE;-8670;-8660
61,RT_completed;5;Cream morning;
62,UPDATE SCORE;-8660;-8650
63,RT_completed;6;Cream evening;
64,UPDATE SCORE;-8650;-8640
65,UNDO DT2;Cryptozombie 1 module;
66,UPDATE SCORE;-8640;-8840
67,COMPLETED DT2;Cryptozombie 1 module;
68,UPDATE SCORE;-8840;-8640
69,NEW DAY;20230107;DAILY CHARGE;
70,UPDATE SCORE;-8640;-10640
71,RT_completed;5;Cream morning;
72,UPDATE SCORE;-10640;-10630
73,RT_completed;0;Open GRL;
74,UPDATE SCORE;-10630;-10620
75,RT_completed;2;Book reading 15 pages;
76,UPDATE SCORE;-10620;-10605
77,RT_completed;8;CryptoZombie;
78,UPDATE SCORE;-10605;-10595
79,ET;WALK;20230106;264;
80,UPDATE SCORE;-10595;-10331
81,ET;WALK;20230105;520;
82,UPDATE SCORE;-10331;-9811
83,COMPLETED DT3;General defeated;
84,UPDATE SCORE;-9811;-9611
85,COMPLETED DT2;Vinod cv;
86,UPDATE SCORE;-9611;-9311
87,ET;Sekiro;-300;
88,UPDATE SCORE;-9311;-9611
89,COMPLETED DT1;Score is suppose to be biggest thing;
90,UPDATE SCORE;-9611;-9111
91,RT_completed;3;Medicine morning;
92,UPDATE SCORE;-9111;-9101
93,RT_completed;6;Cream evening;
94,UPDATE SCORE;-9101;-9091
95,TD_completed;1;Add lists to GRL;869;
96,UPDATE SCORE;-9091;-8222
97,NEW DAY;20230108;DAILY CHARGE;
98,UPDATE SCORE;-8222;-9222
99,RT_completed;0;Open GRL;
100,UPDATE SCORE;-9222;-9212
101,RT_completed;3;Medicine morning;
102,UPDATE SCORE;-9212;-9202
103,ET;WALK;20230107;333;
104,UPDATE SCORE;-9202;-8869
105,RT_completed;5;Cream morning;
106,UPDATE SCORE;-8869;-8859
107,NEW DAY;20230109;DAILY CHARGE;
108,UPDATE SCORE;-8859;-9859
109,RT_completed;5;Cream morning;
110,UPDATE SCORE;-9859;-9849
111,RT_completed;0;Open GRL;
112,UPDATE SCORE;-9849;-9839
113,COMPLETED DT3;Chat Gpt;
114,UPDATE SCORE;-9839;-9639
115,RT_completed;3;Medicine morning;
116,UPDATE SCORE;-9639;-9629
117,ET;WALK;20230108;695;
118,UPDATE SCORE;-9629;-8934
119,COMPLETED DT2;Cycle;
120,UPDATE SCORE;-8934;-8634
121,COMPLETED DT1;Add task add / delete;
122,UPDATE SCORE;-8634;-8134
123,TD_ADD;DEL;
124,TD_DEL;10;DEL;
125,RT_completed;8;CryptoZombie;
126,UPDATE SCORE;-8134;-8124
127,RT_completed;6;Cream evening;
128,UPDATE SCORE;-8124;-8114
129,NEW DAY;20230110;DAILY CHARGE;
130,UPDATE SCORE;-8114;-9114
131,RT_DEL;3;Medicine morning;
132,RT_completed;3;Medicine morning;
133,UPDATE SCORE;-9114;-9104
134,RT_completed;5;Cream morning;
135,UPDATE SCORE;-9104;-9094
136,RT_completed;0;Open GRL;
137,UPDATE SCORE;-9094;-9084
138,RT_ADD;del;0;
139,RT_completed;9;del;
140,UPDATE SCORE;-9084;-9084
141,RT_UNDO;9;del;
142,UPDATE SCORE;-9084;-9084
143,RT_DEL;9;del;
144,COMPLETED DT3;Add rt;
145,UPDATE SCORE;-9084;-8884
146,TD_ADD;Buy Muprocin;
147,TD_ADD;Buy fuse 5A;
148,COMPLETED DT1;Hair cut;
149,UPDATE SCORE;-8884;-8584
150,RT_completed;6;Cream evening;
151,UPDATE SCORE;-8584;-8574
152,RT_completed;1;Varsity;
153,UPDATE SCORE;-8574;-8564
154,TD_completed;11;Buy fuse 5A;50;
155,UPDATE SCORE;-8564;-8514
156,COMPLETED DT2;Learn react;
157,UPDATE SCORE;-8514;-8014
158,TD_completed;10;Buy Muprocin;51;
159,UPDATE SCORE;-8014;-7963
160,ET;Walk;20230109;221;
161,UPDATE SCORE;-7963;-7742
162,NEW DAY;20230111;DAILY CHARGE;
163,UPDATE SCORE;-7742;-8742
164,ET;WALK;20230110;960;
165,UPDATE SCORE;-8742;-7782
166,RT_completed;0;Open GRL;
167,UPDATE SCORE;-7782;-7772
168,RT_completed;3;Medicine morning;
169,UPDATE SCORE;-7772;-7762
170,RT_completed;5;Cream morning;
171,UPDATE SCORE;-7762;-7752
172,TD_DEL;7;Hair cut;
173,RT_completed;6;Cream evening;
174,UPDATE SCORE;-7752;-7742
175,COMPLETED DT1;Scrapper;
176,UPDATE SCORE;-7742;-7542
177,NEW DAY;20230116;DAILY CHARGE;
178,UPDATE SCORE;-7542;-12542
179,NEW DAY;20230117;DAILY CHARGE;
180,UPDATE SCORE;-12542;-13542
181,NEW DAY;20230118;DAILY CHARGE;
182,UPDATE SCORE;-13542;-14542
183,RT_completed;0;Open GRL;
184,UPDATE SCORE;-14542;-14532
185,COMPLETED DT2;Data exp;
186,UPDATE SCORE;-14532;-14332
187,COMPLETED DT3;Reset Dt;
188,UPDATE SCORE;-14332;-14032
189,COMPLETED DT1;23:00;
190,UPDATE SCORE;-14032;-13532
191,RT_completed;1;Varsity;
192,UPDATE SCORE;-13532;-13522
193,RT_completed;3;Medicine morning;
194,UPDATE SCORE;-13522;-13512
195,RT_completed;5;Cream morning;
196,UPDATE SCORE;-13512;-13502
197,RT_completed;4;Medicine night;
198,UPDATE SCORE;-13502;-13492
199,RT_completed;7;Cream night;
200,UPDATE SCORE;-13492;-13482
201,ET;Walk;20230117;519;
202,UPDATE SCORE;-13482;-12963
203,ET;Walk;20230116;273;
204,UPDATE SCORE;-12963;-12690
205,NEW DAY;20230119;DAILY CHARGE;
206,UPDATE SCORE;-12690;-13690
207,RT_completed;3;Medicine morning;
208,UPDATE SCORE;-13690;-13680
209,RT_completed;5;Cream morning;
210,UPDATE SCORE;-13680;-13670
211,ET;WALK;20230118;553;
212,UPDATE SCORE;-13670;-13117
213,RT_completed;0;Open GRL;
214,UPDATE SCORE;-13117;-13107
215,RT_ADD;23:00;100;
216,NEW DAY;20230120;DAILY CHARGE;
217,UPDATE SCORE;-13107;-14107
218,NEW DAY;20230121;DAILY CHARGE;
219,UPDATE SCORE;-14107;-15107
220,NEW DAY;20230122;DAILY CHARGE;
221,UPDATE SCORE;-15107;-16107
222,COMPLETED DT1;Stat handouts x5;
223,UPDATE SCORE;-16107;-15907
224,COMPLETED DT2;Data exp;
225,UPDATE SCORE;-15907;-15607
226,COMPLETED DT3;Reset Dt;
227,UPDATE SCORE;-15607;-15107
228,RT_completed;0;Open GRL;
229,UPDATE SCORE;-15107;-15087
230,RT_completed;3;Medicine morning;
231,UPDATE SCORE;-15087;-14987
232,RT_completed;4;Medicine night;
233,UPDATE SCORE;-14987;-14887
234,RT_completed;5;Cream morning;
235,UPDATE SCORE;-14887;-14787
236,RT_completed;6;Cream evening;
237,UPDATE SCORE;-14787;-14687
238,ET;WALK;20230119;666;
239,UPDATE SCORE;-14687;-14021
240,ET;WALK;20230120;1036;
241,UPDATE SCORE;-14021;-12985
242,ET;WALK;20230121;12353;
243,UPDATE SCORE;-12985;-632
244,ET;UNDO_WALK;20230121;-12353;
245,UPDATE SCORE;-632;-12985
246,ET;WALK;20230121;1235;
247,UPDATE SCORE;-12985;-11750
248,NEW DAY;20230123;DAILY CHARGE;
249,UPDATE SCORE;-11750;-12750
250,NEW DAY;20230124;DAILY CHARGE;
