Add random helps / wish (points gin or lost) feature in GRL,-1,
Add lists to GRL,20230107,869
Add convienience buttons in GRL,20230125,378
Add basic appearance to GRL,20221229,50
Tasks done after DT will yield a random bonus from 50 to 0.1% of next level requirement ,20230103,50
Think about to do ad DT and reset,20230325,803
Think about what to do of finance maths,-1,
Game integration,-1,
Buy Muprocin,20230110,51
Buy fuse 5A,20230110,50
Extension,20230320,667
Increase usage,20230325,109
Learning chunks tab,20230325,76
Walk Tab,20230325,237
Game / Watch tab,-1,
Reset day with permission,-1,
Utc and ist stuff afterwards,-1,
Pin GRL on homepage,20230125,334
Completed to do visibility limited,20230319,50
"Add something in GRL for removing responsibility, lazing, curiosity",-1,
Add multiple tasks together or voice integration,-1,
"""Add daily task"" gets shifted to to do BUG",20230214,542
Refill paper soap,-1,
Trimmer charge,20230213,50
We need some semi formal attire,-1,
Moulic pdf x3,20230214,50
Better travelling clothes,-1,
task category so that easily handled,-1,
Recurr bug,20230223,310
Wash bedsheet,20230224,312
Sort up saved items,-1,
vinod's pc reset,20230225,202
Rishabh tasks,20230225,834
Vinod laptop 2,20230226,104
Study of money influx,-1,
2nd years session GC,20230227,571
Unstop quiz 24th march,20230304,50
Office install,20230227,460
Add DT feature,20230227,77
Fold clothes,20230301,50
Vinod cv,20230306,50
Dsai read all,20230307,50
Clothes,20230307,50
Confusion matrix,20230312,50
Confusion matrix ,20230312,50
Gc meet,20230312,50
Scrap gc,20230314,322
Gc cnn,-1,
Laundry,20230318,50
commenting and cleaning grl code,-1,
Edit button for rt + Push edit button,20230324,50
Heat transfer complete ,20230325,349
Prince regarding dsai,20230322,67
Ping MS seniors,-1,
Tool for drawing trajectory (flowcharts),-1,
Buy a pen,-1,
RTSM check,20230325,456
RTSM delayed but start again,-1,
maths for finance,-1,
Gandhi nom ml,20230326,108
Teach mos,20230326,198
Find drawing tool be persistent,-1,
hall day tejas,20230327,349
hall day saransh,20230327,101
cleaned room,20230327,475
Cf+-w complete,20230328,50
Mtm read,20230328,50
Fluid basic navier,20230328,50
Viva,20230328,50
Clothes for laundry,20230330,289
vinod push extension code,20230401,91
Piyush btp ,-1,
Moulic exam,20230331,292
find pain points and note them in ideapad,20230401,50
ideapad points,-1,
incorporate access to Sheets in GRL,-1,
documanation GRL,-1,
restructure grl a lot to scale IMPORTANT,-1,
class song,20230408,50
Laundry,20230404,197
Create flask structure ,20230404,108
Look into drawing tool ,-1,
seperate profiles in browser to do seperate work,-1,
flask break in api,-1,
khari sing ka packet,-1,
piyush lab,-1,
pOST api ALL,-1,
anova close,-1,
