Task_Name	1
Add random helps / wish (points gin or lost) feature in GRL	1
Think about what to do of finance maths	1
Game integration	1
Game / Watch tab	1
Reset day with permission	1
Utc and ist stuff afterwards	1
"Add something in GRL for removing responsibility, lazing, curiosity"	1
Add multiple tasks together or voice integration	1
Refill paper soap	1
We need some semi formal attire	1
Better travelling clothes	1
task category so that easily handled	1
Sort up saved items	1
Study of money influx	1
Gc cnn	1
commenting and cleaning grl code	1
Ping MS seniors	1
Tool for drawing trajectory (flowcharts)	1
Buy a pen	1
RTSM delayed but start again	1
maths for finance	1
Find drawing tool be persistent	1
Piyush btp 	1
ideapad points	1
incorporate access to Sheets in GRL	1
documanation GRL	1
restructure grl a lot to scale IMPORTANT	1
Look into drawing tool 	1
seperate profiles in browser to do seperate work	1
flask break in api	1
khari sing ka packet	1
piyush lab	1
pOST api ALL	1
anova close	1
