Sr No,log
1,COMPLETED DT1;Add Daily task;
2,UPDATE SCORE;0;200
3,COMPLETED DT3;Add Daily task;
4,UPDATE SCORE;200;500
5,UNDO DT1;Add Daily task;
6,UPDATE SCORE;500;200
7,UNDO DT3;Add Daily task;
8,UPDATE SCORE;200;0
9,COMPLETED DT1;Add Daily task;
10,UPDATE SCORE;0;200
11,UNDO DT1;Add Daily task;
12,UPDATE SCORE;200;0
13,NEW DAY;20221227;DAILY CHARGE;
14,UPDATE SCORE;0;-1000
15,COMPLETED DT1;Add big feature to GRL;
16,UPDATE SCORE;-1000;-800
17,UNDO DT1;Add big feature to GRL;
18,UPDATE SCORE;-800;-1000
19,COMPLETED DT2;Add Daily task;
20,UPDATE SCORE;-1000;-800
21,UNDO DT2;Add Daily task;
22,UPDATE SCORE;-800;-1000
23,NEW DAY;20221228;DAILY CHARGE;
24,UPDATE SCORE;-1000;-2000
25,NEW DAY;20221229;DAILY CHARGE;
26,UPDATE SCORE;-2000;-3000
27,COMPLETED DT1;Add big feature to GRL;
28,UPDATE SCORE;-3000;-2800
29,COMPLETED DT2;correct new day GRL;
30,UPDATE SCORE;-2800;-2500
31,TD_completed;3;Add basic appearance to GRL;50;
32,UPDATE SCORE;-2500;-2450
33,RT_completed;0;Open GRL;
34,UPDATE SCORE;-2450;-2440
35,RT_UNDO;0;Open GRL;
36,UPDATE SCORE;-2440;-2450
37,RT_completed;0;Open GRL;
38,UPDATE SCORE;-2450;-2440
